figure,series,cohort,criterion,metric,seed,value,mean,sample_sd
02,rf_or_ae,full_dataset,component_1_percent,Infilteration_recall,123,0.0480116079105761,0.04779234737747205,0.0017459668942563956
02,rf_or_ae,full_dataset,component_1_percent,Infilteration_recall,456,0.04977429062768702,0.04779234737747205,0.0017459668942563956
02,rf_or_ae,full_dataset,component_1_percent,Infilteration_recall,789,0.04539982803095443,0.04779234737747205,0.0017459668942563956
02,rf_or_ae,full_dataset,component_1_percent,Infilteration_recall,1024,0.04900042992261393,0.04779234737747205,0.0017459668942563956
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_f1,42,0.012829658736362881,0.009621303247812518,0.0049719975395886365
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_f1,123,0.01184395854650011,0.009621303247812518,0.0049719975395886365
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_f1,456,0.010618007828536058,0.009621303247812518,0.0049719975395886365
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_f1,789,0.0008397658779120132,0.009621303247812518,0.0049719975395886365
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_f1,1024,0.011975125249751528,0.009621303247812518,0.0049719975395886365
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_f1,42,0.004109058225283624,0.0065310153317553075,0.007113819586129268
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_f1,123,0.0072562049942354045,0.0065310153317553075,0.007113819586129268
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_f1,456,0.002601651124496618,0.0065310153317553075,0.007113819586129268
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_f1,789,0.018420626711498023,0.0065310153317553075,0.007113819586129268
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_f1,1024,0.0002675356032628695,0.0065310153317553075,0.007113819586129268
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_f1,42,0.008683358768533357,0.0051583486553341785,0.002986243598470759
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_f1,123,0.005626997483025524,0.0051583486553341785,0.002986243598470759
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_f1,456,0.007030063767881359,0.0051583486553341785,0.002986243598470759
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_f1,789,0.00330284579111257,0.0051583486553341785,0.002986243598470759
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_f1,1024,0.0011484774661180835,0.0051583486553341785,0.002986243598470759
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_f1,42,-8.019889165000738e-05,0.0024627094063282675,0.006428074298701419
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_f1,123,-0.0026025280364337933,0.0024627094063282675,0.006428074298701419
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_f1,456,0.013654692727179785,0.0024627094063282675,0.006428074298701419
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_f1,789,0.001529600036484835,0.0024627094063282675,0.006428074298701419
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_f1,1024,-0.00018801880393948256,0.0024627094063282675,0.006428074298701419
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,42,-0.00046417353901378593,-0.00040847271433213164,0.00020865193225120203
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,123,-0.00023208676950689297,-0.00040847271433213164,0.00020865193225120203
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,456,-0.0007478351461888774,-0.00040847271433213164,0.00020865193225120203
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,789,-0.0002785041234082716,-0.00040847271433213164,0.00020865193225120203
03,edge_mlp → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,1024,-0.0003197639935428303,-0.00040847271433213164,0.00020865193225120203
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,42,2.0629935067279376e-05,2.681891558746319e-05,1.1181158365015138e-05
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,123,2.0629935067279376e-05,2.681891558746319e-05,1.1181158365015138e-05
